# id	left	top	right	bottom	texture_id
[SPRITES]

#####  TAIL ###############
#IDLE
11001	211	443	232	470	40
11002	171	443	192	470	40

#WALKING RIGHT
11003	236	443	259	470	40
11004	262	443	283	470	40
11054	291	443	314	470	40

#WALKING LEFT
11006	147	443	170	470	40
11005	121	443	144	470	40
11055	91	443	116	470	40

#RUNNING RIGHT
11007	210	523	235	550	40
11008	250	523	275	550	40
11009	290	523	315	550	40

#RUNNING LEFT
11010	170	523	195	550	40
11011	130	523	155	550	40
11012	90	523	115	550	40

#JUMP WALK RIGHT
11013	331	443	354	470	40
11014	51	443	74	470	40

#JUMP RUN RIGHT & LEFT
11015	290	603	315	630	40
11016	330	603	355	630	40

11017	91	603	116	630	40
11018	51	603	76	630	40

#SIT RIGHT & LEFT 
11019	371	448	394	465	40
11020	11	448	34	465	40

#BRACE RIGHT & LEFT 
11021	211	484	234	511	40
11022	171	484	194	511	40

#TAIL ATTACK FACE AND BACK
11024	36	483	51	510	40
11025	1	483	16	510	40

#low flying
11026	211	603	234	630	40
11027	251	603	274	630	40

11028	172	603	195	630	40
11029	132	603	155	630	40

11030	370	603	395	630	40
11931	11	603	36	630	40

#####  BIG ###############
#IDLE
11121	216	242	231	271	40
11111	176	242	191	271	40

#WALKING RIGHT
11222	256	242	271	271	40
11223	296	242	311	271	40

#WALKING LEFT
11212	136	242	151	271	40
11213	96	242	111	271	40

#RUNNING RIGHT
11321	213	322	232	351	40
11322	253	322	272	351	40
11323	293	322	312	351	40

#RUNNING LEFT
11311	173	322	192	351	40
11312	133	322	152	351	40
11313	93	322	112	351	40

#JUMP WALK RIGHT
11417	335	242	352	271	40
11413	55	242	72	271	40

#JUMP RUN RIGHT & LEFT
11427	334	363	351	392	40
11423	54	363	71	392	40

#SIT RIGHT & LEFT 
11521	375	246	390	267	40
11511	15	247	31	267	40

#BRACE RIGHT & LEFT 
11621	214	283	229	312	40
11611	174	283	189	312	40

#DIE
13001	15	209	30	224	40

############ SMALL ################
 #IDLE
12121	217	89	232	104	40
12626	336	169	351	184	40

12111	177	89	192	104	40
12616	56	169	71	184	40

#WALK RIGHT
12222	255	89	270	104	40

#WALK LEFT
12212	135	89	150	104	40


#RUN RIGHT
12321	215	169	230	184	40
12322	255	169	270	184	40


#RUN LEFT
12311	175	169	190	184	40
12312	135	169	150	184	40

#BRACE RIGHT & LEFT
12511	216	129	231	144	40
12521	176	129	191	144	40


#JUMP WALK RIGHT & LEFT 
12417	335	89	350	104	40
12413	55	89	70	104	40

#HOLD RIGHT LEFT
12621	336	169	351	184	40
12622	377	169	392	184	40

12611	56	169	71	184	40
12612	15	169	30	184	40

#KICK RIGHT LEFT

12721	256	129	271	144	40
12711	136	129	151	144	40

#JUMP RUN RIGHT & LEFT 
12427	215	209	230	224	40
12423	175	209	190	224	40

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	30	11322	30	11323	30
601	11311	30	11312	30	11313	30

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	60	12222	60
1201	12111	60	12212	60

#RUN LEFT & RIGHT
1300	12321	50	12322	50
1301	12311	50	12312	50

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

################### TAIL #################
1700	11001	100
1701	11002	100


#WALK LEFT & RIGHT 
1702	11005	100	11006	100	11055	100
1703	11003	100	11004	100	11054	100

#RUN LEFT & RIGHT
1704	11011	50	11012	50	11010	50
1705	11007	50	11008	50	11009	50

#BRACE LEFT & RIGHT
1706	11021	100
1707	11022	100

#JUMP WALK
1708	11013	100
1709	11014	100

#JUMP RUN 
1710	11015	100	11016	100
1711	11017	100	11018	100

#SIT
1712	11019	100
1713	11020	100

#TAIL ATTACK RIGHT AND LEFT
1714	11003	70	11024	70	11005	70	11025	70	11003	70
1715	11005	70	11024	70	11003	70	11025	70	11005	70

#flying
1716	11016	30	11030	30
1717	11018	30	11931	30

# low flying
1718	11015	500	11016	500
1719	11017	500	11018	500

#time out for flying
