# list of object assets to load in this scene
[ASSETS]
AssetFile/mario.txt
AssetFile/coin.txt
AssetFile/Road.txt
AssetFile/brick.txt
AssetFile/Background.txt
AssetFile/ColorBox.txt
AssetFile/goomba.txt
AssetFile/Pipe.txt
AssetFile/koopas.txt

AssetFile/questionblock.txt
AssetFile/redmushroom.txt
AssetFile/bullet.txt
AssetFile/piranha.txt

#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h


#background_Big_Bush
#Bush1
6 	36	258	24	24	1	127004
6 	36	234	24	24	1	127004
6 	37	210	24	24	1	127007

6 	60	258	24	24	1	127006
6 	60	234	24	24	1	127002
6 	60	210	24	24	1	127003
6 	62	186	24	24	1	127007

6 	84	258	24	24	1	127006
6 	84	234	24	24	1	127003
6 	84	210	24	24	1	127005
6 	84	186	24	24	1	127008

6 	108	258	24	24	1	127006
6 	108	234	24	24	1	127006
6 	109	210	24	24	1	127007

6 	132	258	24	24	1	127002
6 	132	234	24	24	1	127005
6 	131	210	24	24	1	127008

6 	156	258	24	24	1	127003
6 	156	234	24	24	1	127004
6 	157	210	24	24	1	127007

6 	180	258	24	24	1	127006
6 	180	234	24	24	1	127002
6 	179	210	24	24	1	127008

6 	204	258	24	24	1	127005
6 	203	234	24	24	1	127008
#Bush2
6 	1261	234	48	48	1	127007

6 	1283	234	48	48	1	127003
6 	1283	210	48	48	1	127004
6 	1284	186	48	48	1	127007

6 	1307	234	48	48	1	127006
6 	1307	210	48	48	1	127002
6 	1306	186	48	48	1	127008

6 	1331	234	48	48	1	127006
6 	1331	210	48	48	1	127003
6 	1332	186	48	48	1	127007

6 	1355	234	48	48	1	127006
6 	1355	210	48	48	1	127002
6 	1355	186	48	48	1	127003
6 	1356	162	48	48	1	127007

6 	1379	234	48	48	1	127006
6 	1379	210	48	48	1	127003
6 	1379	186	48	48	1	127005
6 	1378	162	48	48	1	127008

6 	1403	234	48	48	1	127006
6 	1403	210	48	48	1	127006
6 	1404	186	48	48	1	127007

6 	1427	234	48	48	1	127005
6 	1427	210	48	48	1	127005
